Breed,YR,Category,Tool Tip,Count,Product
Poodle,0.0,Diet,"High-quality puppy food, high protein",1,Poodle Puppy 
Poodle,0.0,Condition,Dewormer,1,Large Breed Puppy 
Poodle,0.0,Vet Visit,,1,Puppy Wet
Poodle,0.0,Medication,Preventatives,1,
Poodle,1.0,Diet,High-quality adult dog food,1,Poodle Adult
Poodle,1.0,Vet Visit,,1,Large Sensitive Skin Care Dry Dog Food
Poodle,2.0,Condition,Dental issues,1,Dental Medium & Large Dog 
Poodle,2.0,Vet Visit,,1,Large Dental Care Dry Dog Food
Poodle,2.5,Vet Visit,,1,Large Dental Care Dry Dog Food
Poodle,2.0,Medication,"Dental chews, pain relief",1,
Poodle,3.0,Vet Visit,,1,
Poodle,3.5,Vet Visit,,1,
Poodle,4.0,Vet Visit,,1,
Poodle,4.5,Vet Visit,,1,
Poodle,5.0,Vet Visit,,1,
Poodle,5.5,Vet Visit,,1,
Poodle,6.0,Diet,Senior-specific diets (lower calories),1,Mature Consult Large Dog 
Poodle,6.0,Condition,"Early signs of aging, vision changes",1,Poodle Pouch Wet Food 
Poodle,6.0,Vet Visit,,1,
Poodle,6.5,Vet Visit,,1,
Poodle,6.0,Medication,"Pain relievers, heart meds",1,
Poodle,7.0,Diet,High-quality senior food,1,Mature Consult Large Dog 
Poodle,7.0,Condition,"Diabetes, kidney issues",1,Renal Support + Hydrolyzed Protein 
Poodle,7.0,Vet Visit,,1,
Poodle,7.5,Vet Visit,,1,
Poodle,7.0,Medication,"Insulin, renal support meds",1,
Poodle,8.0,Condition,"Cognitive dysfunction, arthritis",1,Poodle 8+
Poodle,8.0,Vet Visit,,1,Large Breed Aging 8+ Senior 
Poodle,8.333333333333334,Vet Visit,,1,Large Breed Aging 8+ Senior 
Poodle,8.666666666666666,Vet Visit,,1,Large Breed Aging 8+ Senior 
Poodle,8.0,Medication,"Cognitive enhancers, pain meds",1,Advanced Mobility Support 
Poodle,9.0,Diet,Senior diet with joint support,1,Joint Care Loaf in Sauce Canned Dog Food
Poodle,9.0,Condition,"Liver problems, obesity",1,Poodle 8+
